time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
53;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
53.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
53.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
53.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
53.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
54;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
54.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
54.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
54.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
54.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
55;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
55.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
55.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
55.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
55.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
56;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
56.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
56.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
56.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
56.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
57;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
57.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
57.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
57.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
57.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
58;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
58.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
58.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
58.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
58.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
59;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
59.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
59.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
59.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
59.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
60;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
60.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
60.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
60.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
60.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
61;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
61.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
61.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
61.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
